学校,学科,等级/结果,推测等级或第四轮等级,时间,来源,渠道,标题,链接,备注,网页存档
北京大学,软件工程,A+,,1月5日,北京大学计算机学院,微信公众号,诚邀申报丨北京大学计算机学院诚邀全球青年才俊申报国家自然科学基金优秀青年科学基金项目（海外）,,已删去相关表述,
北京大学,软件工程,取得最佳成绩,A+,1月7日,北京大学计算机学院,网站,北京大学计算机学院 诚邀全球青年才俊申报国家自然科学基金优秀青年科学基金项目（海外）,https://cs.pku.edu.cn/info/1025/3752.htm,,https://web.archive.org/web/20230206081234/https://cs.pku.edu.cn/info/1025/3752.htm
北京大学,生态学,A+,,12月29日,北京大学城市与环境学院,网站,庆祝北京大学生态学系成立20周年大会成功举办,https://www.ues.pku.edu.cn/xyxw/368086.htm,,https://web.archive.org/web/20230206080033/https://www.ues.pku.edu.cn/xyxw/368086.htm
北京大学,新闻传播学,表现优秀,第四轮B+,1月4日,北京大学新闻网,网站,新闻与传播学院召开2022年度工作总结会,https://news.pku.edu.cn/xwzh/9d174abb6e6642c49086616473b316f7.htm,,https://web.archive.org/web/20230206080226/https://news.pku.edu.cn/xwzh/9d174abb6e6642c49086616473b316f7.htm
北京大学,外国语言文学,保持领先,A+,1月12日,北京大学新闻网,网站,外国语学院召开2022年度工作总结大会,https://news.pku.edu.cn/xwzh/755bf521f46f4978a550a97f76f433c8.htm,,https://web.archive.org/web/20230206080641/https://news.pku.edu.cn/xwzh/755bf521f46f4978a550a97f76f433c8.htm
北京大学,哲学,A+,,1月14日,北京大学哲学系宗教学系,网站,北京大学哲学系宗教学系主任调整任命宣布会,https://phil.pku.edu.cn/tpxw/528096.htm,,https://web.archive.org/web/20230206080804/https://phil.pku.edu.cn/tpxw/528096.htm
北京大学,环境科学与工程,取得了令人可喜的成绩,第四轮A,1月16日,北京大学新闻网,网站,环境科学与工程学院2022年度寒假战略研讨会暨年度总结会召开,https://news.pku.edu.cn/xwzh/a2f563db60b44113a3ccf5b0a5a2fb84.htm,,https://web.archive.org/web/20230206080959/https://news.pku.edu.cn/xwzh/a2f563db60b44113a3ccf5b0a5a2fb84.htm
北京大学,力学,A+,,1月10日,北京大学工学院,网站,2022年工学院年终总结会暨战略研讨会成功举行,https://www.coe.pku.edu.cn/newsfocus/fast/11841.html,,https://web.archive.org/web/20230206081817/https://www.coe.pku.edu.cn/newsfocus/fast/11841.html
北京第二外国语学院,外国语言文学,实现新突破,B+,1月21日,北京第二外国语学院,网站,2023新春贺词：追梦人，再启新程！,https://www.bisu.edu.cn/art/2023/1/21/art_18951_308347.html,,https://web.archive.org/web/20230206143908/https://www.bisu.edu.cn/art/2023/1/21/art_18951_308347.html
北京工商大学,,实现了A类的突破，多个学科进步显著,,12月31日,北京工商大学新闻网,网站,矢志一流，惟有奋斗！北京工商大学2023年新年贺词,https://www.btbu.edu.cn/news/zhxw/a48bf3566d9141cfa84d77d432b66261.htm,,https://web.archive.org/web/20230206151344/https://www.btbu.edu.cn/news/zhxw/a48bf3566d9141cfa84d77d432b66261.htm
北京工业大学,,迈上新台阶,,1月18日,北京工业大学,网站,北京工业大学2022年度十大新闻揭晓,https://news.bjut.edu.cn/info/1002/3873.htm,,https://web.archive.org/web/20230206145316/https://news.bjut.edu.cn/info/1002/3873.htm
北京工业大学,设计学,会议深入解读和分析了新一轮学科评估数据中存在的短板和具体问题,第四轮C,1月9日,北工大艺视界,微信公众号,艺术设计学院召开学科建设与研究生教育工作会议,https://mp.weixin.qq.com/s/9gKMkCw6rOP-8VTGvspE_Q,,https://archive.is/ebrGz
北京航空航天大学,,高峰学科占比达到25%,7个学科A+,1月10日,北京航空航天大学,微信公众号,集贤聚才，启“航”未来 | 北航诚邀全球英才依托申报海外优青！,https://mp.weixin.qq.com/s/1vRGEDpZCQ8bMygLNvqkWg,,https://archive.is/2QJSa
北京航空航天大学,计算机科学与技术,A+,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,软件工程,A+,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
北京航空航天大学,材料科学与工程,A+,,1月1日,北航云盘,,北京航空航天大学2022年招生宣讲PPT（寒假返乡）,https://bhpan.buaa.edu.cn/#/link/653DAF1585EDBA6DF9F8F79BAAB0A40F,已被删除，可能是学生分享的链接,
