学校,学科,等级/结果,推测等级或第四轮等级,时间,来源,渠道,标题,链接,备注,网页存档
长春理工大学,光学工程,首次获评A类学科，在第四轮获评A-基础上再上新台阶,A,2月2日,长春理工大学,网站,长春理工大学：2022出彩答卷：35个“首次”,https://www.cust.edu.cn/lgxw/9bad816f23054d91aca4b1896e74aa07.htm,,https://web.archive.org/web/20230206143441/https://www.cust.edu.cn/lgxw/9bad816f23054d91aca4b1896e74aa07.htm
长江大学,石油与天然气工程,获得佳绩,,1月1日,长江大学,微信公众号,奔跑向未来 | 长江大学二〇二三年新年献词,https://mp.weixin.qq.com/s/LDPTUL9S0dfT3PJulbnu9w,,https://archive.is/QnY8b
长江大学,石油与天然气工程,实现历史性突破,B-,12月31日,长江大学,微信公众号,长江大学2022年十大新闻发布！,https://mp.weixin.qq.com/s/yMrLUqCYsI-xipfb3Al93w,,https://archive.is/VBibE
长江大学,,在第五轮学科评估和全国专业学位水平评估中，10个学科（学位点）上榜,,1月9日,长江大学新闻网,网站,2023年春节致离退休教职工的慰问信,https://news.yangtzeu.edu.cn/info/1006/32257.htm,,https://web.archive.org/web/20230206142859/https://news.yangtzeu.edu.cn/info/1006/32257.htm
重庆大学,,突破性进展,,1月22日,重庆大学,微信公众号,舒立春书记、王树新校长癸卯年春节致辞,https://mp.weixin.qq.com/s/zWtkc-wXoa7ui9KY8gXwgQ,,https://archive.is/NeeC0
重庆大学,土木工程,跨越式发展，位列前茅,第四轮B+,1月13日,重庆大学,微信公众号,来重大！未来可期！,https://mp.weixin.qq.com/s/vGczqX-MZlQhtPM4JCkcNg,,https://archive.is/jqgaS
重庆大学,机械工程,进入第一方阵,第四轮A-,1月13日,重庆大学,微信公众号,来重大！未来可期！,https://mp.weixin.qq.com/s/vGczqX-MZlQhtPM4JCkcNg,,https://archive.is/jqgaS
重庆大学,电气工程,进入第一方阵,第四轮A-,1月13日,重庆大学,微信公众号,来重大！未来可期！,https://mp.weixin.qq.com/s/vGczqX-MZlQhtPM4JCkcNg,,https://archive.is/jqgaS
重庆大学,环境科学与工程,进入第一方阵,第四轮B+,1月13日,重庆大学,微信公众号,来重大！未来可期！,https://mp.weixin.qq.com/s/vGczqX-MZlQhtPM4JCkcNg,,https://archive.is/jqgaS
重庆大学,风景园林学,进入第一方阵,第四轮B,1月13日,重庆大学,微信公众号,来重大！未来可期！,https://mp.weixin.qq.com/s/vGczqX-MZlQhtPM4JCkcNg,,https://archive.is/jqgaS
重庆大学,工商管理,进入第一方阵,第四轮B+,1月13日,重庆大学,微信公众号,来重大！未来可期！,https://mp.weixin.qq.com/s/vGczqX-MZlQhtPM4JCkcNg,,https://archive.is/jqgaS
重庆理工大学,,取得新突破,,12月31日,重庆理工大学,网站,用信念照耀前程  用奋斗抵达未来—重庆理工大学2023年新年贺词,https://www.cqut.edu.cn/info/1049/44838.htm,,https://web.archive.org/web/20230206160001/https://www.cqut.edu.cn/info/1049/44838.htm
重庆理工大学,,较上一轮有较大幅度提升,,1月12日,重庆理工大学,网站,学校召开本学期第四次学科建设与研究生教育工作例会,https://www.cqut.edu.cn/info/1049/45002.htm,,https://web.archive.org/web/20230206115604/https://www.cqut.edu.cn/info/1049/45002.htm
重庆交通大学,,取得历史最好成绩，实现了历史性突破,,1月12日,重庆交通大学新闻网,网站,学校召开全校领导干部大会暨党政工作例会,https://news.cqjtu.edu.cn/info/1021/49762.htm,14个学科参评第五轮学科评估,https://web.archive.org/web/20230206141155/https://news.cqjtu.edu.cn/info/1021/49762.htm
重庆交通大学,4个学科,前进了1档,已知土木、交运、机械、工商前进1档，故推测以下学科未进步（括注第四轮成绩）：马克思主义理论（C），计算机科学与技术（C-），水利工程（B），管理科学与工程（B-）,1月12日,重庆交通大学新闻网,网站,学校召开全校领导干部大会暨党政工作例会,https://news.cqjtu.edu.cn/info/1021/49762.htm,,https://web.archive.org/web/20230206141155/https://news.cqjtu.edu.cn/info/1021/49762.htm
重庆交通大学,土木工程,B+,第四轮B,1月12日,重庆交通大学新闻网,网站,学校召开全校领导干部大会暨党政工作例会,https://news.cqjtu.edu.cn/info/1021/49762.htm,已删除相关表述,https://web.archive.org/web/20230209074740/https://news.cqjtu.edu.cn/info/1021/49762.htm
重庆交通大学,交通运输工程,B+,第四轮B,1月12日,重庆交通大学新闻网,网站,学校召开全校领导干部大会暨党政工作例会,https://news.cqjtu.edu.cn/info/1021/49762.htm,已删除相关表述,https://web.archive.org/web/20230209074740/https://news.cqjtu.edu.cn/info/1021/49762.htm
重庆交通大学,机械工程,C,第四轮C-,1月12日,重庆交通大学新闻网,网站,学校召开全校领导干部大会暨党政工作例会,https://news.cqjtu.edu.cn/info/1021/49762.htm,已删除相关表述,https://web.archive.org/web/20230209074740/https://news.cqjtu.edu.cn/info/1021/49762.htm
重庆交通大学,工商管理,C,第四轮C-,1月12日,重庆交通大学新闻网,网站,学校召开全校领导干部大会暨党政工作例会,https://news.cqjtu.edu.cn/info/1021/49762.htm,已删除相关表述,https://web.archive.org/web/20230209074740/https://news.cqjtu.edu.cn/info/1021/49762.htm
重庆交通大学,系统科学,C-,,1月12日,重庆交通大学新闻网,网站,学校召开全校领导干部大会暨党政工作例会,https://news.cqjtu.edu.cn/info/1021/49762.htm,已删除相关表述,https://web.archive.org/web/20230209074740/https://news.cqjtu.edu.cn/info/1021/49762.htm
重庆医科大学,,稳中有升,,1月1日,重庆医科大学,微信公众号,重庆医科大学2023年新年贺词,https://mp.weixin.qq.com/s/F_ObE93MnGvelDWLLv5MMw,,https://archive.is/3aSRL
大连东软信息学院,,取得了历史性突破,,1月7日,大连东软信息学院,网站,校长郭权在全省高校强化内涵建设助力振兴新突破推进会议上作交流发言,https://www.neusoft.edu.cn/html/975/2023-01-07/content-5460.html,,https://web.archive.org/web/20230206135600/https://www.neusoft.edu.cn/html/975/2023-01-07/content-5460.html
大连理工大学,软件工程,跨越式提升,第四轮B+,1月25日,大连理工大学软件学院,微信公众号,大连理工大学软件工程学科“大数据与人工智能”暨第6期青才论坛预通知,https://mp.weixin.qq.com/s/MPtIyaiNXq1ERDgp8ophYA,,https://archive.is/jP27C
大连外国语大学,,取得较好成绩,第四轮外国语言文学B,12月28日,大连外国语大学,网站,我校召开2022年度二级党组织书记抓基层党建工作述职评议会暨期末工作总结会,https://www.dlufl.edu.cn/info/1046/11688.htm,,https://web.archive.org/web/20230206155321/https://www.dlufl.edu.cn/info/1046/11688.htm
大连外国语大学,外国语言文学,取得重要进展，成绩有大幅进步,第四轮B,1月19日,大连外国语大学,微信公众号,2022十大热词！让你看到精彩大外！,https://mp.weixin.qq.com/s/7DlNMh2Jq-dfPBGD2uqq9g,,https://archive.is/6mESi
大连医科大学,中西医结合,历史性突破,第四轮B+,12月31日,大连医科大学,网站,大连医科大学2023年新年贺词,https://news.dmu.edu.cn/info/1253/26087.htm,,https://web.archive.org/web/20230206152540/https://news.dmu.edu.cn/info/1253/26087.htm
电子科技大学,电子科学与技术,A+（全国第一）,,,电子科技大学电子科学与工程学院,网站,学院简介,https://www.ese.uestc.edu.cn/xygk/xyjj.htm,"已删除相关表述，原文：在全国第四轮和第五轮学科评估中，均获得A+（全国第一）
",https://archive.is/f6goY
电子科技大学,电子科学与技术,A+,,2月3日,智汇成电,微信公众号,海外优青|电子科技大学A+学科诚邀全球英才申报,https://mp.weixin.qq.com/s/jiO56J7ihCnctN-UFGS2hA,,https://archive.is/Zp1LJ
电子科技大学,仪器科学与技术,A档,,2月3日,智汇成电,微信公众号,[海外优青］电子科技大学自动化工程学院诚聘英才,https://mp.weixin.qq.com/s/EeWFzKtDMe4JQh2eYhaekA,,https://archive.is/td0dR
电子科技大学,信息与通信工程,A+,,2月8日,智汇成电,微信公众号,@海外优青，电子科技大学A+学科邀您申报！,https://mp.weixin.qq.com/s/7jKh8b7Sejda4D5ECYSsiQ,,https://archive.is/wip/kzfWi
东北大学,控制科学与工程,进入全国第一层次,第四轮A,12月31日,东北大学新闻网,网站,【新年贺词】2023，相约百年东大 团结奋斗再出发,http://neunews.neu.edu.cn/2022/1231/c232a78820/page.htm,,https://archive.is/G5kre
东北大学,7个学科,进入同类学科前列,第四轮1A 3A-（材料科学与工程、计算机科学与技术、软件工程） 5B+（机械工程、冶金工程、矿业工程、管理科学与工程、公共管理）,12月31日,东北大学新闻网,网站,【新年贺词】2023，相约百年东大 团结奋斗再出发,http://neunews.neu.edu.cn/2022/1231/c232a78820/page.htm,,https://archive.is/G5kre
东北师范大学,,总体成绩再创历史新高，顶尖学科、高峰学科、高原学科发展水平全面提升突破,,12月31日,东北师范大学,微信公众号,2023新年致辞 | 同心砺风雨 奋进新征程,https://mp.weixin.qq.com/s/wUjv1DOf4yFbDtUKVnh6cw,顶尖学科、高峰学科、高原学科发展水平全面提升突破,https://archive.is/d1hVr
东北师范大学,3个学科,A+,第四轮1A+（马克思主义理论） 3A（教育学、生态学、统计学） 2A-（世界史、生物学）,1月8日,吉林日报,报纸新媒体,东北师范大学再取突破！教育部第五轮学科评估中获3个A+！,https://www.toutiao.com/i7186238246756942374,已被删除，原文：记者近日获悉，在此次评估中，吉林省诸多高校表现亮眼，其中，东北师范大学拿下3个A+学科！,
东北石油大学,化学工程与技术,B+,,6月18日,,,东北石油大学 2022年招生宣讲会,,,
东南大学,交通运输工程,A+,,12月31日,东南大学交通学院,微信公众号,盘点 | 交通学院2022年工作回顾,https://mp.weixin.qq.com/s/eBqCnQJRdxNEEBkqy_ELFg,原文章已被删除，链接为1月10日发布的新文章，新文章仍有“交通运输工程A+一流学科”表述,https://archive.is/1cCIL
东南大学,土木工程,延续上一轮佳绩,A+,,东南大学土木工程学院,网站,学院简介,https://civil.seu.edu.cn/10468/list.htm,,https://archive.is/Amn1Z
东南大学,力学,较上轮进一步提升,B,1月18日,东南大学土木工程学院,网站,庆土木学科蝉联佳绩 迎土木学科百年庆典 ——东南大学土木工程学院与南京校友会土木交通分会共同组织迎新茶话会,https://civil.seu.edu.cn/2023/0118/c19885a433970/page.htm,,https://archive.is/2ZdFN
东南大学,环境科学与工程,排名稳步前进,第四轮B+,1月16日,东大能环,微信公众号,2022年度能源与环境学院“十大新闻”揭晓！一起回顾那些“高光时刻”！,https://mp.weixin.qq.com/s/QOR_uH-5_VxRbJM_aU-W2A,,https://archive.is/SfSuv
东南大学,动力工程及工程热物理,实现跨阶式突破，获得近年来最好成绩,第四轮B+,1月16日,东大能环,微信公众号,2022年度能源与环境学院“十大新闻”揭晓！一起回顾那些“高光时刻”！,https://mp.weixin.qq.com/s/QOR_uH-5_VxRbJM_aU-W2A,,https://archive.is/SfSuv
东南大学,环境科学与工程,全国前15%,,6月22日,东南大学能源与环境学院,网站,东南大学能源与环境学院2022年全国优秀大学生夏令营活动暨推免预选拔工作通知,https://power.seu.edu.cn/2022/0622/c9506a412401/page.htm,,https://archive.is/wNb7V
东南大学,动力工程及工程热物理,全国排名第九,,6月22日,东南大学能源与环境学院,网站,东南大学能源与环境学院2022年全国优秀大学生夏令营活动暨推免预选拔工作通知,https://power.seu.edu.cn/2022/0622/c9506a412401/page.htm,,https://archive.is/wNb7V
东南大学,数学,成绩优秀,第四轮未在榜上,1月19日,东南大学数学学院,微信公众号,喜报 | 我院数学拔尖学生培养基地入选首批省级基础学科拔尖学生培养计划2.0基地建设点,https://mp.weixin.qq.com/s/3ql_MMbA6lFgMsFBtLM0lQ,,https://archive.is/XtbxY
东南大学,电气工程,取得了历史性突破,A-，第四轮B+,1月21日,东南大学电气工程学院,微信公众号,踔厉扬帆，再谱华章，共赴2023电气学科百年之约！—东南大学电气工程学院新春贺词,https://mp.weixin.qq.com/s/KRaKF5OvrWMuDx05FDkIiQ,,https://archive.is/pbPYI
东南大学,仪器科学与技术,学科排名持续进步,第四轮A-,1月16日,东南大学仪器科学与工程学院,网站,仪器科学与工程学院召开2022年度教职工大会,https://ins.seu.edu.cn/2023/0116/c26970a433851/page.htm,,https://archive.is/rg9Z6
福建师范大学,3个学科,位居A类(其中2个学科首进A档),第四轮3A-（马克思主义理论、体育学、音乐与舞蹈学）,1月5日,福建师范大学,福建师范大学,20个“有”：“数”读2022年“双一流”建设,https://mp.weixin.qq.com/s/wZGfWlGOwROTSy9rGehtAg,,https://archive.is/kjo8e
福建师范大学,18个学科,B类,第四轮2B+（中国语言文学、地理学） 4B 6B-,1月5日,福建师范大学,福建师范大学,20个“有”：“数”读2022年“双一流”建设,https://mp.weixin.qq.com/s/wZGfWlGOwROTSy9rGehtAg,,https://archive.is/kjo8e
福建师范大学,14个学科,实现档次提升，占参评学科的46.67%,30个参评学科,1月5日,福建师范大学,福建师范大学,20个“有”：“数”读2022年“双一流”建设,https://mp.weixin.qq.com/s/wZGfWlGOwROTSy9rGehtAg,,https://archive.is/kjo8e
广东工业大学,管理科学与工程,B-,,1月3日,广东工业大学管理学院,网站,2018-2022年管理学院大事记,https://glxy.gdut.edu.cn/info/1115/17908.htm,,https://web.archive.org/web/20230209082217/https://glxy.gdut.edu.cn/info/1115/17908.htm
广东工业大学,工商管理,C+,,1月3日,广东工业大学管理学院,网站,2018-2022年管理学院大事记,https://glxy.gdut.edu.cn/info/1115/17908.htm,,https://web.archive.org/web/20230209082217/https://glxy.gdut.edu.cn/info/1115/17908.htm
广东医科大学,临床医学,C+,,1月13日,广东医科大学新闻文化网,网站,以学科评估为契机，切实推动学科高质量发展——学校召开第五轮学科评估总结暨第六轮学科评估动员会,https://news.gdmu.edu.cn/info/1004/27500.htm,,https://web.archive.org/web/20230209081028/https://news.gdmu.edu.cn/info/1004/27500.htm
广东医科大学,基础医学,力争第六轮学科评估提档升级，达到c+以上档次,第四轮未在榜上,1月13日,广东医科大学新闻文化网,网站,以学科评估为契机，切实推动学科高质量发展——学校召开第五轮学科评估总结暨第六轮学科评估动员会,https://news.gdmu.edu.cn/info/1004/27500.htm,,https://web.archive.org/web/20230209081028/https://news.gdmu.edu.cn/info/1004/27500.htm
广东医科大学,公共卫生与预防医学,力争第六轮学科评估提档升级，达到c+以上档次,第四轮未在榜上,1月13日,广东医科大学新闻文化网,网站,以学科评估为契机，切实推动学科高质量发展——学校召开第五轮学科评估总结暨第六轮学科评估动员会,https://news.gdmu.edu.cn/info/1004/27500.htm,,https://web.archive.org/web/20230209081028/https://news.gdmu.edu.cn/info/1004/27500.htm
广东医科大学,药学,力争第六轮学科评估提档升级，达到c+以上档次,第四轮未在榜上,1月13日,广东医科大学新闻文化网,网站,以学科评估为契机，切实推动学科高质量发展——学校召开第五轮学科评估总结暨第六轮学科评估动员会,https://news.gdmu.edu.cn/info/1004/27500.htm,,https://web.archive.org/web/20230209081028/https://news.gdmu.edu.cn/info/1004/27500.htm
广西大学,土木工程,上升了一个档次,B,1月21日,广西大学新闻中心,网站,广西大学2023年新春贺词（2023-01-21）,https://news.gxu.edu.cn/info/1002/40099.htm,,https://web.archive.org/web/20230206141543/https://news.gxu.edu.cn/info/1002/40099.htm
广西艺术学院,,取得较好成绩,第四轮美术学B+、音乐与舞蹈学B、设计学B、艺术学理论C+,12月31日,广西艺术学院,网站,广西艺术学院2023年新年贺词,https://news.gxau.edu.cn/gyyw/content_287074,,https://archive.is/bOHaV
广州医科大学,临床医学,B,,12月27日,广州医科大学药学院,微信公众号,,,原文章已被删除，其中还称：百分位排名位于同类学科前2%（或前2名）为A+，2%～5%为A（不含2%，下同），5%～10%为A-，10%～20%为B+，20%～30%为B，30%～40%为B-，40%～50%为C+，50%～60%为C，60%～70%为C-（以上称为“上榜学科”）。百分位排名位于同类学科70%之后的不参与排名（称为“未上榜学科”）。,
广州医科大学,药学,B-,,12月27日,广州医科大学药学院,微信公众号,,,原文章已被删除，1月17日发布的新春贺词中改称药学学科“全国学科评估晋升2个档次”，其中原文章还称：百分位排名位于同类学科前2%（或前2名）为A+，2%～5%为A（不含2%，下同），5%～10%为A-，10%～20%为B+，20%～30%为B，30%～40%为B-，40%～50%为C+，50%～60%为C，60%～70%为C-（以上称为“上榜学科”）。百分位排名位于同类学科70%之后的不参与排名（称为“未上榜学科”）。,
广州医科大学,基础医学,B-,,12月27日,广州医科大学药学院,微信公众号,,,原文章已被删除，其中还称：百分位排名位于同类学科前2%（或前2名）为A+，2%～5%为A（不含2%，下同），5%～10%为A-，10%～20%为B+，20%～30%为B，30%～40%为B-，40%～50%为C+，50%～60%为C，60%～70%为C-（以上称为“上榜学科”）。百分位排名位于同类学科70%之后的不参与排名（称为“未上榜学科”）。,
广州医科大学,护理学,C+,,12月27日,广州医科大学药学院,微信公众号,,,原文章已被删除，其中还称：百分位排名位于同类学科前2%（或前2名）为A+，2%～5%为A（不含2%，下同），5%～10%为A-，10%～20%为B+，20%～30%为B，30%～40%为B-，40%～50%为C+，50%～60%为C，60%～70%为C-（以上称为“上榜学科”）。百分位排名位于同类学科70%之后的不参与排名（称为“未上榜学科”）。,
广州医科大学,中西医结合,C,,12月27日,广州医科大学药学院,微信公众号,,,原文章已被删除，其中还称：百分位排名位于同类学科前2%（或前2名）为A+，2%～5%为A（不含2%，下同），5%～10%为A-，10%～20%为B+，20%～30%为B，30%～40%为B-，40%～50%为C+，50%～60%为C，60%～70%为C-（以上称为“上榜学科”）。百分位排名位于同类学科70%之后的不参与排名（称为“未上榜学科”）。,
广州医科大学,公共卫生与预防医学,C-,,12月27日,广州医科大学药学院,微信公众号,,,原文章已被删除，其中还称：百分位排名位于同类学科前2%（或前2名）为A+，2%～5%为A（不含2%，下同），5%～10%为A-，10%～20%为B+，20%～30%为B，30%～40%为B-，40%～50%为C+，50%～60%为C，60%～70%为C-（以上称为“上榜学科”）。百分位排名位于同类学科70%之后的不参与排名（称为“未上榜学科”）。,
桂林理工大学,风景园林学,C,第四轮D,12月30日,旅院先锋,微信公众号,,,已被删除,
贵州大学,上榜学科,比上一轮大幅增加,,1月15日,贵州大学新闻网,网站,【两会贵大声音】省人大代表、贵州大学党委书记李建军：以新一轮国家“双一流”建设为契机做强贵州大学,http://news.gzu.edu.cn/2023/0115/c11069a182514/page.htm,,https://web.archive.org/web/20230209091700/http://news.gzu.edu.cn/2023/0115/c11069a182514/page.htm
贵州大学,植物保护,A类,第四轮B+,1月28日,贵州大学,网站,贵州省《政府工作报告》：持续支持贵州大学“双一流”建设,https://www.gzu.edu.cn/2023/0128/c642a182578/page.htm,我省唯一入选A类的学科,https://web.archive.org/web/20230206115341/https://www.gzu.edu.cn/2023/0128/c642a182578/page.htm
贵州医科大学,,排名稳中有升,,2月8日,贵州医科大学,网站,天眼新闻（2023.02.08）【关注全省教育工作会】贵州医科大学：努力办人民满意的“百年医科大学”,https://www.gmc.edu.cn/info/1059/24186.htm,,https://web.archive.org/web/20230209072558/https://www.gmc.edu.cn/info/1059/24186.htm
国防科技大学,管理科学与工程,A+,,1月5日,国防科技大学,网站,复杂系统密码 | 国防科技大学A+学科管理科学与工程研招宣传片上线！,https://www.nudt.edu.cn/jyjx/jxdt/b0f67811c2704596bc676b7a0b557aa8.htm,,https://archive.is/E8udt
哈尔滨工程大学,船舶与海洋工程,A+，位列全国第一,,1月5日,哈尔滨工程大学,微信公众号,功“程”未来 邀你同来 | 诚邀全球青年才俊依托哈工程申报“海外优青”,https://mp.weixin.qq.com/s/l3fz303khIu5igKKKGvyoQ,,https://archive.is/hAtPv
哈尔滨工程大学,核科学与技术,全国第三,第四轮B+,1月5日,哈尔滨工程大学,微信公众号,功“程”未来 邀你同来 | 诚邀全球青年才俊依托哈工程申报“海外优青”,https://mp.weixin.qq.com/s/l3fz303khIu5igKKKGvyoQ,,https://archive.is/hAtPv
哈尔滨工程大学,控制科学与工程,国内前列,第四轮A-,1月5日,哈尔滨工程大学,微信公众号,功“程”未来 邀你同来 | 诚邀全球青年才俊依托哈工程申报“海外优青”,https://mp.weixin.qq.com/s/l3fz303khIu5igKKKGvyoQ,,https://archive.is/hAtPv
哈尔滨工程大学,控制科学与工程,A类,第四轮A-,1月12日,哈工程智能科学与工程学院,微信公众号,智创未来 共攀高峰 筑梦蔚蓝 “智”等你来,https://mp.weixin.qq.com/s/wTv6HchPGVeejijlJUBOsg,,https://archive.is/jFNQT
哈尔滨工程大学,13个学科,进入全国前列,第四轮1A+ 1A- 5B+（动力工程及工程热物理、信息与通信工程、计算机科学与技术、核科学与技术、管理科学与工程） 6B（马克思主义理论、力学、机械工程、光学工程、材料科学与工程、软件工程） 2B-（仪器科学与技术、化学工程与技术）,1月5日,哈尔滨工程大学,微信公众号,功“程”未来 邀你同来 | 诚邀全球青年才俊依托哈工程申报“海外优青”,https://mp.weixin.qq.com/s/l3fz303khIu5igKKKGvyoQ,,https://archive.is/hAtPv
哈尔滨工业大学,化学工程与技术,A类,第四轮A-,1月19日,哈尔滨工业大学化工与化学学院,微信公众号,广纳英才 共谱华章 | 诚邀海外人才依托化工与化学学院申报2023年度国家自然科学基金海外优青项目,https://mp.weixin.qq.com/s/KGNVTMckPOrOgG-UCUvr4w,,https://archive.is/Mq7ik
哈尔滨工业大学,电气工程,A,,1月16日,哈尔滨工业大学电气学院,微信公众号,,,已被删除,
哈尔滨工业大学,环境科学与工程,再创佳绩,A+,1月23日,哈尔滨工业大学-今日哈工大,网站,环境学院2022年十大新闻,http://today.hit.edu.cn/article/2023/01/23/100501,,https://archive.is/wip/FRjKt
哈尔滨医科大学,2个学科,A档,第四轮1A-（公共卫生与预防医学）,,哈尔滨医科大学,网站,学校概况,https://www.hrbmu.edu.cn/xyjj/xxgk.htm,,https://archive.is/CKq7J
哈尔滨医科大学,5个学科,B档,第四轮2B+（临床医学、药学）3B（生物学、护理学、公共管理） 3B-（生物医学工程、基础医学、口腔医学）,,哈尔滨医科大学,网站,学校概况,https://www.hrbmu.edu.cn/xyjj/xxgk.htm,,https://archive.is/CKq7J
杭州电子科技大学,,整体实力跨越式增长,,1月18日,杭州电子科技大学,微信公众号,年终盘点| 2022学科交叉与学科群建设取得新跨越,https://mp.weixin.qq.com/s/qwLtVKhh7DyfDs2EcxJ9ow,,https://archive.is/R3xgF
杭州电子科技大学,,赢得“高评”,,1月21日,杭州电子科技大学,微信公众号,杭州电子科技大学2023新春贺词,https://mp.weixin.qq.com/s/JkRDiiekqr_Poq0xBVQmmA,,https://archive.is/k8aiJ
杭州电子科技大学,1个优势特色学科,成功跻身A档,,,杭州电子科技大学,微信公众号,,,已被删除,
杭州电子科技大学,,B档以上学科数量较第四轮学科评估增长75%,7个学科B档以上，第四轮3B+（电子科学与技术、控制科学与工程、计算机科学与技术） 1B-（工商管理） 3C+（机械工程、软件工程、管理科学与工程） 1C（信息与通信工程）,,杭州电子科技大学,微信公众号,,,已被删除,
杭州电子科技大学,参评学科中60%,实现提档升级,,,杭州电子科技大学,微信公众号,,,已被删除,
杭州师范大学,美术学,保持了较好成绩,第四轮B-,1月6日,杭州师范大学美术学院,微信公众号,争创双一流！美术学院召开解放思想大讨论工作部署会,https://mp.weixin.qq.com/s/gl8fWA6kHdtU0eoRLClW3w,,https://archive.is/p7G9h
杭州师范大学,设计学,取得较大突破,第四轮未在榜上,1月6日,杭州师范大学美术学院,微信公众号,争创双一流！美术学院召开解放思想大讨论工作部署会,https://mp.weixin.qq.com/s/gl8fWA6kHdtU0eoRLClW3w,,https://archive.is/p7G9h
河海大学,海洋科学,稳步提升,第四轮C+,1月3日,河海大学海洋学院,网站,河海大学海洋科学专业获批江苏省基础学科拔尖学生培养计划2.0基地建设点,https://hyxy.hhu.edu.cn/_t366/2023/0103/c8672a256023/page.htm,,https://web.archive.org/web/20230209075844/https://hyxy.hhu.edu.cn/_t366/2023/0103/c8672a256023/page.htm
河南大学,数学,（数学与统计学院）取得可喜成绩,第四轮C+,1月20日,河南大学数学与统计学院,网站,数学与统计学院走访慰问离退休教师,http://news.henu.edu.cn/info/1084/123113.htm,,https://web.archive.org/web/20230206140326/http://news.henu.edu.cn/info/1084/123113.htm
河南大学,统计学,（数学与统计学院）取得可喜成绩,第四轮C+,1月20日,河南大学数学与统计学院,网站,数学与统计学院走访慰问离退休教师,http://news.henu.edu.cn/info/1084/123113.htm,,https://web.archive.org/web/20230206140326/http://news.henu.edu.cn/info/1084/123113.htm
河南大学,美术学,B-,第四轮C-,1月10日,河南大学美术学院,微信公众号,美术学院召开2022年度党支部书记述职评议考核会,https://mp.weixin.qq.com/s/mqgy3YE_Q7tAh8WTmod7mA,,https://archive.is/LyB2L
河南大学,设计学,C,,1月10日,河南大学美术学院,微信公众号,美术学院召开2022年度党支部书记述职评议考核会,https://mp.weixin.qq.com/s/mqgy3YE_Q7tAh8WTmod7mA,,https://archive.is/LyB2L
河南农业大学,兽医学,取得不俗的成绩,第四轮B,,河南农业大学新闻网,网站,我校动物医学院6名专家入选新一届全国兽药评审咨询专家库,https://www.henau.edu.cn/info/1114/34980.htm,,https://web.archive.org/web/20230206151924/https://www.henau.edu.cn/info/1114/34980.htm
河南农业大学,畜牧学,光荣晋级,第四轮C+,,河南农业大学动物科技学院,网站,学院简介,https://dwkjxy.henau.edu.cn/plus/list.php?tid=2,,https://web.archive.org/web/20230209073015/https://dwkjxy.henau.edu.cn/plus/list.php?tid=2
湖南大学,工商管理,迈上新台阶,A,12月31日,湖南大学工商管理学院,微信公众号,2023新年献词,https://mp.weixin.qq.com/s/j6X0gIXjKgICdNq-ynLU6A,,https://archive.is/nHh4a
湖南大学,管理科学与工程,迈上新台阶,B+,12月31日,湖南大学工商管理学院,微信公众号,2023新年献词,https://mp.weixin.qq.com/s/j6X0gIXjKgICdNq-ynLU6A,,https://archive.is/nHh4a
湖南大学,应用经济学,A类,第四轮B+,1月5日,湖南大学经济与贸易学院,微信公众号,学院动态｜经济与贸易学院六届四次工会会员、教职工大会召开,https://mp.weixin.qq.com/s/gRpfdPbSEvNpKrmaOizCZw,,https://archive.is/14mqR
湖南大学,电气工程,获佳绩,第四轮B+,12月31日,HNU麓山电苑,微信公众号,元旦献词：新百年新征程中勇毅前行,https://mp.weixin.qq.com/s/oaqFgFGOLglf8a646fIM6Q,,https://archive.is/1T698
湖南大学,控制科学与工程,获佳绩,第四轮B,12月31日,HNU麓山电苑,微信公众号,元旦献词：新百年新征程中勇毅前行,https://mp.weixin.qq.com/s/oaqFgFGOLglf8a646fIM6Q,,https://archive.is/1T698
湖南农业大学,农林经济管理,B-,第四轮C+,1月9日,湖南农业大学经济学院,网站,教育部第五轮学科评估农林经济管理学科晋升为B-,https://eco.hunau.edu.cn/xwzx/202301/t20230109_366953.html,,https://web.archive.org/web/20230209081931/https://eco.hunau.edu.cn/xwzx/202301/t20230109_366953.html
湖南农业大学,公共管理,优异成绩,,12月27日,湖南农业大学公共管理与法学学院,网站,公共管理一级学科简介,https://gfxy.hunau.edu.cn/jxpy/bsspy/202212/t20221227_366780.html,,https://web.archive.org/web/20230209085200/https://gfxy.hunau.edu.cn/jxpy/bsspy/202212/t20221227_366780.html
华北电力大学,电气工程,A,,1月18日,华北电力大学,微信公众号,诚邀海内外英才加盟！华北电力大学携手怀柔实验室、中国三峡集团联合举办能源电力世界青年学者论坛,https://mp.weixin.qq.com/s/eF1Z9i74uCHGljp1pfCkZw,,https://archive.is/DWEHi
华北电力大学,动力工程及工程热物理,A-,,1月18日,华北电力大学,微信公众号,诚邀海内外英才加盟！华北电力大学携手怀柔实验室、中国三峡集团联合举办能源电力世界青年学者论坛,https://mp.weixin.qq.com/s/eF1Z9i74uCHGljp1pfCkZw,,https://archive.is/DWEHi
华北水利水电大学,11个学科,前72%,第四轮1B 1B- 1C+ 2C 3C-，C-及以上为前70%,12月31日,华北水利水电大学,微信公众号,华北水利水电大学二〇二三年新年贺词,https://mp.weixin.qq.com/s/eeMHzjFOqm_3yU2wW95oRg,,https://archive.is/hhKK9
